id_geral,cd_escola,vl_proficiencia_fup,treatment,vl_proficiencia_bl,dumm_rp_08_bl,dumm_rp_09_bl,dumm_rp_14_bl,dumm_rp_23_bl,dumm_rp_24_bl,dumm_rp_49_bl,dumm_rp_50_bl,dumm_rp_64A_bl,dumm_rp_65A_bl,dumm_rp_95_bl,dumm_rp_08p_bl,dumm_rp_14p_bl,dumm_rp_23p_bl,female_coded
10,17018390.0,47.367374,0,,,,,,,1.0,1.0,0.0,0.0,1.0,,,,0
100,33002614.0,58.176758,1,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,1
10001,35002914.0,56.67166,1,71.94644,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
10002,35908915.0,29.079376,0,40.189255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10003,33047324.0,49.563534,1,33.918755,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10006,53012542.0,43.099434,0,59.784943,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10008,53006984.0,71.3296,0,72.2768,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
10009,33049475.0,80.06344,0,74.298874,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10011,35925639.0,88.75163,1,88.50198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
10014,35008758.0,61.43614,1,44.927967,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10015,35005307.0,63.811386,1,27.739931,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
10017,33024537.0,66.01345,0,58.791214,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1
10019,33075212.0,39.581806,1,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1
10020,53011520.0,64.264114,1,40.026505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10021,33058679.0,66.088066,1,62.99598,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
10025,23100575.0,37.540596,0,32.81695,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10028,35011502.0,59.192062,0,53.980076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10029,35044453.0,34.702374,0,37.978954,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1003,35012075.0,36.50311,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,1
10030,33126267.0,54.488873,1,42.855125,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
10031,35045160.0,51.418312,1,49.612442,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10033,31068543.0,59.432465,1,50.507523,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10034,17002648.0,70.17137,1,71.20855,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
10035,33019223.0,61.695484,1,39.420433,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1
10038,31069191.0,66.90643,0,41.23032,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10039,33025576.0,50.32367,1,53.474213,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
10040,23131802.0,65.6725,1,56.735374,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10042,35901805.0,78.46157,1,58.996296,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1
10044,33072310.0,27.845999,1,21.321447,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
10046,35901118.0,34.982147,0,31.554161,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,1
10049,33106630.0,61.535606,1,49.8622,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1
1005,35012087.0,34.85759,1,,,,,,,1.0,1.0,1.0,0.0,1.0,,,,1
10051,35011423.0,72.1812,1,50.568783,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1
10052,33029660.0,68.80345,0,34.375065,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10055,35049499.0,47.705894,0,39.849865,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10056,31322539.0,67.020355,1,64.906204,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10058,35004492.0,71.28991,1,42.7503,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1
1006,35012087.0,31.181433,1,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,0
10060,35905008.0,78.83005,0,60.177765,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10062,35904958.0,71.81973,0,59.613834,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1
10063,17021553.0,47.00818,0,38.578697,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,1
10064,35901805.0,64.51287,1,48.61993,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10065,35008540.0,42.387096,0,23.899378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10066,23070382.0,58.97924,1,56.263615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
10067,35019604.0,35.216476,0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10069,35001824.0,74.37255,1,74.55374,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
1007,35012087.0,70.07285,1,,,,,,,1.0,1.0,0.0,0.0,0.0,,,,1
10071,17007500.0,58.240643,0,47.55765,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10072,33093555.0,52.948498,0,52.197495,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
10073,33038724.0,65.96463,0,39.551903,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10075,35012130.0,50.424328,0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
